ID DEPARTAMENTO,DEPARTAMENTO,ID MUNICIPIO,MUNICIPIO,ID LOCALIDAD,LOCALIDAD,AÑO SERVICIO,MES SERVICIO,ENERGÍA ACTIVA,ENERGÍA REACTIVA,POTENCIA MÁXIMA,DÍA DE DEMANDA MÁXIMA,FECHA DE DEMANDA MÁXIMA,PROMEDIO DIARIO EN HORAS
27,Chocó,27006,Acandí,27006000,Acandí (Acandí - Chocó),2024,6,682186,197644.0,1579.6,Lunes,2024-06-17 20:30:00,19.37
27,Chocó,27006,Acandí,27006003,Capurgana (Acandí - Chocó),2024,6,403800,128896.0,894.96,Sábado,2024-06-29 20:30:00,21.03
27,Chocó,27025,Alto Baudo,27025000,Ciudad Baudo - Pie De Pato (Alto Baudo - Chocó),2024,6,52766,18043.0,127.6,Martes,2024-06-11 12:30:00,23.53
27,Chocó,27075,Bahía Solano,27075000,Ciudad Mutis (Bahía Solano - Chocó),2024,6,806798,240527.0,1573.88,Sábado,2024-06-01 19:30:00,23.55
27,Chocó,27075,Bahía Solano,27075002,El Valle (Bahía Solano - Chocó),2024,6,184938,65667.0,366.96,Sábado,2024-06-29 20:15:00,23.54
27,Chocó,27077,Bajo Baudó,27077905,Buenavista (Bajo Baudó (Pizarro) - Chocó),2024,6,4215,1621.0,18.4,Lunes,2024-06-03 19:45:00,10.0
27,Chocó,27077,Bajo Baudó,27077029,Firme De Usarga (Bajo Baudó (Pizarro) - Chocó),2024,6,906,394.0,7.21,Domingo,2024-06-30 19:15:00,5.51
27,Chocó,27077,Bajo Baudó,27077026,Guineal (Bajo Baudó (Pizarro) - Chocó),2024,6,5274,2959.0,33.88,Domingo,2024-06-02 11:45:00,8.09
27,Chocó,27077,Bajo Baudó,27077008,Orpua (Bajo Baudó - Chocó),2024,6,648,170.0,6.24,Jueves,2024-06-27 19:15:00,5.57
27,Chocó,27077,Bajo Baudó,27077000,Pizarro (Bajo Baudó - Chocó),2024,6,233400,91021.0,448.8,Lunes,2024-06-24 19:30:00,23.05
27,Chocó,27077,Bajo Baudó,27077916,Terron (Bajo Baudó - Chocó),2024,6,5300,2263.0,27.79,Lunes,2024-06-10 11:45:00,10.28
27,Chocó,27099,Bojayá,27099000,Bellavista (Bojayá (Bellavista) - Chocó),2024,6,91673,27162.0,265.98,Lunes,2024-06-03 18:15:00,15.16
27,Chocó,27099,Bojayá,27099005,Napipi (Bojayá - Chocó),2024,6,9331,3096.0,60.8,Sábado,2024-06-01 19:00:00,6.2
27,Chocó,27099,Bojayá,27099008,Puerto Conto (Bojayá (Bellavista) - Choco),2024,6,11489,3514.0,67.2,Viernes,2024-06-21 20:15:00,8.01
27,Chocó,27250,El Litoral Del San Juan,27250000,Santa Genoveva De Docordo (El Litoral Del San Juan - Chocó),2024,6,31176,14902.0,253.7,Miércoles,2024-06-05 18:45:00,5.26
