ID DEPATAMENTO,DEPARTAMENTO,ID MUNICIPIO,MUNICIPIO,ID LOCALIDAD,LOCALIDAD,AÑO SERVICIO,MES SERVICIO,ENERGÍA ACTIVA,ENERGÍA REACTIVA,POTENCIA MÁXIMA,DÍA DE DEMANDA MÁXIMA,FECHA DE DEMANDA MÁXIMA,PROMEDIO DIARIO EN HORAS
44,LA GUAJIRA,44847,URIBIA,44847003,CABO DE LA VELA (URIBIA - LA GUAJIRA),2024,06,32748,1938,159.45,Miércoles,06/05/2024 07:30:00 PM,8.33
44,LA GUAJIRA,44847,URIBIA,44847012,NAZARETH (URIBIA - LA GUAJIRA),2024,06,31835,6940,265.92,Viernes,06/07/2024 06:30:00 PM,4.46
47,MAGDALENA,47189,CIÉNAGA,47189018,PALMOR (CIÉNAGA - MAGDALENA),2024,06,88076,30120,169.22,Sábado,06/01/2024 11:45:00 AM,23.21
50,META,50325,MAPIRIPAN,50325000,MAPIRIPAN (MAPIRIPAN - META),2024,06,173757,58073,340.12,Lunes,06/17/2024 03:00:00 PM,24
52,NARIÑO,52250,EL CHARCO,52250016,ALTERÓN (URIBE URIBE) (EL CHARCO - NARIÑO),2024,06,554,347,6.43,Martes,06/04/2024 06:45:00 PM,3.43
52,NARIÑO,52250,EL CHARCO,52250005,LAS MERCEDES (EL CHARCO - NARIÑO),2024,06,983,873,12.58,Sábado,06/01/2024 07:00:00 PM,4.14
52,NARIÑO,52250,EL CHARCO,52250007,SAN JOSÉ DEL TAPAJE (EL CHARCO - NARIÑO),2024,06,9682,2920,64,Viernes,06/28/2024 08:15:00 PM,10.06
52,NARIÑO,52390,LA TOLA,52390005,AGUACATAL (LA TOLA - NARIÑO),2024,06,783,189,9.5,Domingo,06/30/2024 11:30:00 AM,3.27
52,NARIÑO,52390,LA TOLA,52390013,AMARALES (LA TOLA - NARIÑO),2024,06,8842,2662,51.46,Jueves,06/13/2024 12:15:00 PM,8.01
52,NARIÑO,52390,LA TOLA,52390003,LA VIGIA DE LA MAR (LA TOLA - NARIÑO),2024,06,4814,2215,21.64,Miércoles,06/26/2024 12:45:00 PM,9.5
52,NARIÑO,52390,LA TOLA,52390009,MULATOS (LA TOLA - NARIÑO),2024,06,4251,2656,28.99,Sábado,06/22/2024 06:45:00 PM,7.53
52,NARIÑO,52390,LA TOLA,52390016,SAN PABLO DEL MAR (LA TOLA - NARIÑO),2024,06,5924,2122,26.3,Sábado,06/15/2024 07:30:00 PM,10.03
52,NARIÑO,52427,MAGÜÍ,52427913,LA ISLA (MAGÜÍ - NARIÑO),2024,06,0,0,0,Sábado,06/01/2024 12:00:00 AM,0
52,NARIÑO,52427,MAGÜÍ,52427915,LAS LAJAS (MAGÜÍ - NARIÑO),2024,06,0,0,0,Sábado,06/01/2024 12:00:00 AM,0
52,NARIÑO,52473,MOSQUERA,52473010,EL BAJITO DE ECHANDÍA (MOSQUERA - NARIÑO),2024,06,1615,630,10.2,Jueves,06/13/2024 06:15:00 PM,7.03
52,NARIÑO,52490,OLAYA HERRERA,52490913,BOCA DE PRIETA (OLAYA HERRERA - NARIÑO),2024,06,2168,656,13.7,Sábado,06/29/2024 07:30:00 PM,6.19
52,NARIÑO,52621,ROBERTO PAYAN,52621912,TAMAJE (ROBERTO PAYAN - NARIÑO),2024,06,4778,2999,23.02,Domingo,06/16/2024 03:45:00 PM,8.54
52,NARIÑO,52835,SAN ANDRÉS DE TUMACO,52835055,BOCAS DE CURAY (TUMACO - NARIÑO),2024,06,7922,2975,48,Viernes,06/07/2024 07:15:00 PM,7.19
52,NARIÑO,52835,SAN ANDRÉS DE TUMACO,52835217,SAN JUAN DE LA COSTA (SAN ANDRÉS DE TUMACO - NARIÑO),2024,06,23815,9302,105.6,Viernes,06/07/2024 07:15:00 PM,10.42
52,NARIÑO,52696,SANTA BÁRBARA,52696014,LA ENSENADA (SANTA BÁRBARA - NARIÑO),2024,06,3102,2058,21.73,Martes,06/04/2024 06:45:00 PM,6.28
86,PUTUMAYO,86573,PUERTO LEGUÍZAMO,86573009,PIÑUÑA NEGRO (PUERTO LEGUÍZAMO - PUTUMAYO),2024,06,2654,1590,22.4,Sábado,06/01/2024 07:00:00 PM,5.3
76,VALLE DEL CAUCA,76109,BUENAVENTURA,76109069,PAPAYAL 1 (BUENAVENTURA - VALLE DEL CAUCA),2024,06,7207,1312,28.95,Martes,06/25/2024 08:00:00 PM,11.01
76,VALLE DEL CAUCA,76109,BUENAVENTURA,76109105,PITAL (BUENAVENTURA - VALLE DEL CAUCA),2024,06,2427,656,9.86,Domingo,06/09/2024 03:45:00 PM,9.42
76,VALLE DEL CAUCA,76109,BUENAVENTURA,76109028,PUERTO MERIZALDE (BUENAVENTURA - VALLE DEL CAUCA),2024,06,103108,35909,21.26,Lunes,06/10/2024 07:45:00 PM,21.26
76,VALLE DEL CAUCA,76109,BUENAVENTURA,76109081,PUNTA BONITA,2024,06,2799,3112,21.03,Sábado,06/29/2024 08:30:00 PM,6.28
76,VALLE DEL CAUCA,76109,BUENAVENTURA,76109032,SAN FRANCISCO NAYA (BUENAVENTURA - VALLE DEL CAUCA),2024,06,8189,3084,42.59,Sábado,06/22/2024 11:45:00 AM,9.29
97,VAUPÉS,97161,CARURÚ,97161000,CARURÚ (CARURÚ - VAUPÉS),2024,06,20522,5140,82.1,Miércoles,06/12/2024 06:45:00 PM,11.58
97,VAUPÉS,97001,MITÚ,97001000,MITÚ (MITÚ - VAUPÉS),2024,06,1451772,366345,3028.54,Martes,06/18/2024 12:00:00 PM,24
97,VAUPÉS,97666,TARAIRA,97666000,TARAIRA (TARAIRA - VAUPÉS),2024,06,34830,9545,130.33,Miércoles,06/26/2024 12:00:00 PM,12.26
99,VICHADA,99001,PUERTO CARREÑO,99001000,PUERTO CARREÑO (PUERTO CARREÑO - VICHADA),2024,06,2188361,673372,4794.24,Domingo,06/02/2024 08:45:00 PM,23.56
91,AMAZONAS,91001,LETICIA,91001000,LETICIA (LETICIA - AMAZONAS),2024,01,4059524,1044021,7581.08,Miércoles,01/03/2024 02:30:00 PM,24
18,CAQUETÁ,18150,CARTAGENA DEL CHAIRA,18150001,REMOLINO DEL CAGUAN (CARTAGENA DEL CHAIRA - CAQUETÁ),2024,05,18848,8450,105.92,Sábado,05/11/2024 07:30:00 PM,7.4
18,CAQUETÁ,18150,CARTAGENA DEL CHAIRA,18150002,SANTA FE DEL CAGUAN (CARTAGENA DEL CHAIRA - CAQUETÁ),2024,05,4355,1963,40,Viernes,05/24/2024 06:30:00 PM,4.21
18,CAQUETÁ,18753,SAN VICENTE DEL CAGUÁN,18753002,GUACAMAYAS (SAN VICENTE DEL CAGUÁN - CAQUETÁ),2024,05,8538,3679,34.37,Lunes,05/13/2024 06:45:00 PM,12.26
19,CAUCA,19318,GUAPI,19318008,LIMONES (GUAPI - CAUCA),2024,05,8580,3745,42.96,Miércoles,05/29/2024 07:15:00 PM,8.45
19,CAUCA,19318,GUAPI,19318013,SAN ANTONIO DE GUAJUI (GUAPI - CAUCA),2024,05,10561,6131,52.54,Viernes,05/31/2024 07:45:00 PM,8.27
19,CAUCA,19418,LÓPEZ DE MICAY,19418009,NOANAMITO (LÓPEZ DE MICAY - CAUCA),2024,05,7935,3763,36,Domingo,05/26/2024 07:00:00 PM,10.36
91,AMAZONAS,91001,LETICIA,91001000,LETICIA (LETICIA - AMAZONAS),2024,07,4175447,1065330,7823.49,Jueves,07/25/2024 03:30:00 PM,24
91,AMAZONAS,91540,PUERTO NARIÑO,91540000,PUERTO NARIÑO (PUERTO NARIÑO - AMAZONAS),2024,07,132554,42294,270.4,Miercoles,07/24/2024 06:15:00 PM,24
91,AMAZONAS,91798,TARAPACA (ANM),91798000,TARAPACA (TARAPACA (ANM) - AMAZONAS),2024,07,26803,12169,101.43,Lunes,07/29/2024 02:30:00 PM,10.17
88,ARCHIPIÉLAGO DE SAN ANDRÉS y PROVIDENCIA,88564,PROVIDENCIA,88564000,PROVIDENCIA (PROVIDENCIA - ARCHIPIÉLAGO DE SAN ANDRÉS y PROVIDENCIA ),2024,07,1308682,275839,2229.81,Miercoles,07/10/2024 10:30:00 PM,24
88,"ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA",88001,SAN ANDRÉS,88001000,SAN ANDRÉS (SAN ANDRÉS - ARCHIPIÉLAGO DE SAN ANDRÉS Y PROVIDENCIA),2024,07,20194952,5047981,33462.36,Jueves,07/25/2024 03:45:00 PM,24
13,BOLÍVAR,13001,CARTAGENA DE INDIAS,13001007,ISLA FUERTE (CARTAGENA DE INDIAS - BOLÍVAR),2024,07,28683,13831,264.06,Lunes,07/01/2024 12:30:00 AM,4.22
13,BOLÍVAR,13001,CARTAGENA DE INDIAS,13001017,SANTA CRUZ DEL ISLOTE (CARTAGENA DE INDIAS - BOLÍVAR),2024,07,13868,4464,54.18,Viernes,07/12/2024 10:15:00 PM,10.15
18,CAQUETÁ,18150,CARTAGENA DEL CHAIRA,18150001,REMOLINO DEL CAGUAN (CARTAGENA DEL CHAIRA - CAQUETÁ),2024,07,11716,5089,104.75,Martes,07/09/2024 07:45:00 PM,4.3
18,CAQUETÁ,18150,CARTAGENA DEL CHAIRA,18150002,SANTA FE DEL CAGUAN (CARTAGENA DEL CHAIRA - CAQUETÁ),2024,07,3571,1667,40.64,Viernes,07/12/2024 06:45:00 PM,3.42
18,CAQUETÁ,18753,SAN VICENTE DEL CAGUÁN,18753002,GUACAMAYAS (SAN VICENTE DEL CAGUÁN - CAQUETÁ),2024,07,2672,976,27.84,Lunes,07/01/2024 07:30:00 PM,5.01
19,CAUCA,19318,GUAPI,19318008,LIMONES (GUAPI - CAUCA),2024,07,4288,1882,45.28,Viernes,07/05/2024 07:45:00 PM,4.08
19,CAUCA,19318,GUAPI,19318013,SAN ANTONIO DE GUAJUI (GUAPI - CAUCA),2024,07,11284,6147,55.81,Viernes,07/26/2024 07:00:00 PM,8.23
19,CAUCA,19418,LÓPEZ DE MICAY,19418009,NOANAMITO (LÓPEZ DE MICAY - CAUCA),2024,07,6151,2827,40,Sabado,07/13/2024 07:15:00 PM,6.42
19,CAUCA,19809,TIMBIQUÍ,19809014,CHACON (TIMBIQUÍ - CAUCA),2024,07,4464,1154,22.22,Domingo,07/21/2024 08:30:00 PM,8.35
19,CAUCA,19809,TIMBIQUÍ,19809003,COTEJE (TIMBIQUÍ - CAUCA),2024,07,5913,4186,29.88,Jueves,07/11/2024 07:30:00 PM,7.45
19,CAUCA,19809,TIMBIQUÍ,19809007,SAN JOSE (TIMBIQUÍ - CAUCA),2024,07,6046,4222,34.58,Lunes,07/15/2024 07:45:00 PM,6.49
